name	scientific	link	url	family	family-common	color	type	image	location																						
Quail Brush	Atriplex lentiformis	atriplex-lentiformis	mojave-plants-shrubs/atriplex-lentiformis.html	 Amaranthaceae	Amaranth	"pink, yellow, green"	Shrub	images/mojave-plants-thumbnails/atriplex-lentiformis-t.jpg																							
Four-wing Saltbush	Atriplex canescens	atriplex-canescens	mojave-plants-shrubs/atriplex-canescens.html	 Amaranthaceae	Amaranth	"pink, yellow, green"	Shrub	images/mojave-plants-thumbnails/atriplex-canescens-t.jpg																							
Rabbitsfoot Grass	Polypogon monspeliensis	polypogon-monspeliensis	mojave-plants-grasses/polypogon-monspeliensis.html	 Poaceae	Grasses	grass	Grass	images/mojave-plants-thumbnails/polypogon-monspeliensis-t.jpg																							
Great Basin Wild Rye	Leymus cinereus	leymus-cinereus	mojave-plants-grasses/leymus-cinereus.html	 Poaceae	Grasses	grass	Grass	images/mojave-plants-thumbnails/leymus-cinereus-t.jpg																							
Saltgrass	Distichlis spicata	distichlis-spicata	mojave-plants-grasses/distichlis-spicata.html	 Poaceae	Grasses	grass	Grass	images/mojave-plants-thumbnails/distichlis-spicata-t.jpg																							
Shadscale	Atriplex confertifolia	atriplex-confertifolia	mojave-plants-shrubs/atriplex-confertifolia.html	 Amaranthaceae	Amaranth	"pink, yellow, green"	Shrub	images/mojave-plants-thumbnails/atriplex-confertifolia-t.jpg																							
Desert Holly	Atriplex hymenelytra	atriplex-hymenelytra	mojave-plants-shrubs/atriplex-hymenelytra.html	 Amaranthaceae	Amaranth	green	Shrub	images/mojave-plants-thumbnails/atriplex-hymenelytra-t.jpg																							
Cattle Saltbush	Atriplex polycarpa	atriplex-polycarpa	mojave-plants-shrubs/atriplex-polycarpa.html	 Amaranthaceae	Amaranth	green	Shrub	images/mojave-plants-thumbnails/atriplex-polycarpa-t.jpg																							
Wooly Bluestar	Amsonia tomentosa	amsonia-tomentosa	mojave-plants-perennials/amsonia-tomentosa.html	 Apocynaceae	Dogbane	"white, purple, blue"	Perennial	images/mojave-plants-thumbnails/amsonia-tomentosa-t.jpg																							
London Rocket	Sisymbrium irio	sisymbrium-irio	mojave-plants-weeds/sisymbrium-irio.html	 Brassicaceae	Mustard	yellow	Weed	images/mojave-plants-thumbnails/sisymbrium-irio-t.jpg																							
Trailing Windmills	Allionia incarnata	allionia-incarnata	mojave-plants-perennials/allionia-incarnata.html	 Nyctaginaceae	Four O’clock	purple	Perennial	images/mojave-plants-thumbnails/allionia-incarnata-t.jpg																							
Desert Pepperweed	Lepidium fremontii	lepidium-fremontii	mojave-plants-shrubs/lepidium-fremontii.html	 Brassicaceae	Mustard	white	Shrub	images/mojave-plants-thumbnails/lepidium-fremontii-t.jpg																							
Bigelow's Desert 4 O'clock	Mirabilis laevis var. villosa	mirabilis-laevis	mojave-plants-shrubs/mirabilis-laevis.html	 Nyctaginaceae	4 O'clock	white	Shrub	images/mojave-plants-thumbnails/mirabilis-laevis-t.jpg																							
Arizona Ash	Fraxinus velutina	fraxinus-velutina	mojave-plants-trees/fraxinus-velutina.html	 Oleaceae	Olive	yellow	Tree	images/mojave-plants-thumbnails/fraxinus-velutina-t.jpg																							
Lilac Sunbonnets	Langloisia setosissima sub. setosissima	langloisia-setosissima	mojave-plants-annuals/langloisia-setosissima.html	 Polemoniaceae	Phlox	purple	Annual	images/mojave-plants-thumbnails/langloisia-setosissima-t.jpg																							
Anderson Boxthorn	Lycium andersonii	lycium-andersonii	mojave-plants-shrubs/lycium-andersonii.html	 Solanaceae	Nightshade	purple	Shrub	images/mojave-plants-thumbnails/lycium-andersonii-t.jpg																							
Desert Lilly	Hesperocallis undulata	hesperocallis-undulata	mojave-plants-perennials/hesperocallis-undulata.html	 Asparagaceae	Asparagus	white	Perennial	images/mojave-plants-thumbnails/hesperocallis-undulata-t.jpg																							
Notch-leaved Phacelia	Phacelia crenulata	phacelia-crenulata	mojave-plants-annuals/phacelia-crenulata.html	 Polemoniaceae	Phlox	purple	Annual	images/mojave-plants-thumbnails/phacelia-crenulata-t.jpg																							
Woolly Desert Marigold	Baileya pleniradiata	baileya-pleniradiata	mojave-plants-perennials/baileya-pleniradiata.html	 Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/baileya-pleniradiata-t.jpg																							
Apricot Globe-mallow	Sphaeralcea ambigua	sphaeralcea-ambigua	mojave-plants-perennials/sphaeralcea-ambigua.html	 Malvaceae	Mallow	orange	Perennial	images/mojave-plants-thumbnails/sphaeralcea-ambigua-t.jpg																							
Lacy Phacelia	Phacelia tanacetifolia	phacelia-tanacetifolia	mojave-plants-annuals/phacelia-tanacetifolia.html	 Polemoniaceae	Phlox	purple	Annual	images/mojave-plants-thumbnails/phacelia-tanacetifolia-t.jpg																							
Beavertail Cactus	Opuntia basilaris	opuntia-basilaris	mojave-plants-cactus/opuntia-basilaris.html	 Cactaceae	Cactus	purple	Cactus	images/mojave-plants-thumbnails/opuntia-basilaris-t.jpg																							
Mojave Suncup	Chylismia brevipes	chylismia-brevipes	mojave-plants-annuals/chylismia-brevipes.html	 Onagraceae	Evening Primrose	yellow	Annual	images/mojave-plants-thumbnails/chylismia-brevipes-t.jpg																							
Narrowleaf Cryptocantha	Johnstonella angustifolia	johnstonella-angustifolia	mojave-plants-annuals/johnstonella-angustifolia.html	 Boraginaceae	Forget-Me-Not	yellow	Annual	images/mojave-plants-thumbnails/johnstonella-angustifolia-t.jpg																							
Field Bindweed	Convolvulus arvensis	convolvulus-arvensis	mojave-plants-weeds/convolvulus-arvensis.html	 Convolvulaceae	Morning Glory	white	Weed	images/mojave-plants-thumbnails/convolvulus-arvensis-t.jpg																							
